grad_norm,param_norm,samples,step,train_loss,val_loss
3.001141453183407,56.41332029012791,256,0,2.3144609928131104,2.303380012512207
2.9229480826218817,56.443575627542515,25856,100,2.032820161581039,1.859532654285431
6.001455009929434,56.54901579859636,51456,200,1.4153745388984678,1.3854299783706665
5.068504317497831,56.59780994734298,77056,300,1.3049934494495394,1.210641086101532
4.4237617082039575,56.62839585841483,102656,400,1.2875587618350985,1.2504711747169495
4.060200201429473,56.65773223497021,128256,500,1.2623725259304048,1.233995795249939
4.05800703842742,56.68440336060484,153856,600,1.2275584238767616,1.206534206867218
3.7643137669604125,56.709060502823185,179456,700,1.2122309106588367,1.1906519532203674
3.694705575248271,56.73270524857408,205056,800,1.2187046271562578,1.204602062702179
3.4955442727368333,56.75452658598334,230656,900,1.2058020383119576,1.3699586391448975
3.5137090541725593,56.77849409849823,256256,1000,1.2088950121402748,1.295196771621704
3.2974130008976914,56.80137567693824,281856,1100,1.1950823724269877,1.158309519290924
3.2491329639539828,56.8227551432568,307456,1200,1.1961167556047438,1.254775881767273
3.119371161503667,56.841614371190076,333056,1300,1.2046647977828968,1.1682321429252625
3.003893333262906,56.862557116666395,358656,1400,1.2055363070964822,1.1240000128746033
2.9978542040324916,56.88054496469176,384256,1500,1.2103183525800705,1.113871693611145
2.8666801416169503,56.89819526676391,409856,1600,1.1781026852130898,1.3548056483268738
2.906210488396789,56.91670033120945,435456,1700,1.1821606791019434,1.206600546836853
2.729772125657903,56.937259605797244,461056,1800,1.2051642662286772,1.1233153343200684
2.701670926460942,56.95251194674269,486656,1900,1.1763473498821255,1.315381109714508
2.8048919249167605,56.96931186140197,512256,2000,1.211983970403672,1.1295495629310608
2.736652620888798,56.98989870812037,537856,2100,1.1704607111215584,1.1751157641410828
2.72527448973187,57.00715445641857,563456,2200,1.182596530914307,1.156780481338501
2.5657828856735523,57.02303780483321,589056,2300,1.1668008559942245,1.141209363937378
2.6370401340019196,57.0426719604752,614656,2400,1.1817101144790647,1.145220696926117
2.523809818141052,57.06053097716264,640256,2500,1.171721673607827,1.2175320386886597
2.5503676566736533,57.07765351883855,665856,2600,1.1467633664608008,1.0910055041313171
2.5269452546389113,57.0938491467028,691456,2700,1.1735291367769234,1.096316158771515
2.524208743762493,57.11113162524519,717056,2800,1.16029869377613,1.3156399130821228
2.470937753414666,57.130248161542134,742656,2900,1.148143141269684,1.0884740948677063
